Path, Allocation (TB), Current Usage (TB), Percent used, New Allocation (TB), Saving (TB), Accumulated saving (TB)
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/1pctCO2, 1.17, 1.02, 87.18, 0.9359999999999999, 0.23399999999999999, 55.22999999999995
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/esm-piControl, 1.05, 0.64, 60.95, 0.8400000000000001, 0.20999999999999996, 55.43999999999995
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical, 11.28, 11.79, 104.52, 11.28, 0.0, 55.43999999999995
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl, 1.21, 1.24, 102.48, 1.21, 0.0, 55.43999999999995
/badc/cmip6/data/CMIP6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-aer, 2.43, 1.91, 78.6, 1.9440000000000002, 0.486, 55.925999999999945
/badc/cmip6/data/CMIP6/GeoMIP/IPSL/IPSL-CM6A-LR/G6solar, 0.54, 0.13, 24.07, 0.324, 0.21600000000000003, 56.141999999999946
/badc/cmip6/data/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-CM6-1/ssp245, 1.65, 1.64, 99.39, 1.65, 0.0, 56.141999999999946
/badc/cmip6/data/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-CM6-1/ssp370, 2.0, 2.0, 100.0, 2.0, 0.0, 56.141999999999946
/badc/cmip6/data/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp434, 3.94, 4.2, 106.6, 3.94, 0.0, 56.141999999999946
/badc/cmip6/data/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp460, 7.32, 7.31, 99.86, 7.32, 0.0, 56.141999999999946
/badc/cmip6/data/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp585, 8.21, 8.21, 100.0, 8.21, 0.0, 56.141999999999946
/badc/cmip6/data/CMIP6/C4MIP/CNRM-CERFACS/CNRM-ESM2-1/1pctCO2-bgc, 0.67, 0.15, 22.39, 0.402, 0.268, 56.40999999999995
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2, 1.62, 0.8, 49.38, 0.972, 0.6480000000000001, 57.05799999999995
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/esm-hist, 1.5, 0.84, 56.0, 1.2000000000000002, 0.2999999999999998, 57.35799999999995
/badc/cmip6/data/CMIP6/CMIP/NCAR/CESM2-WACCM/amip, 1.08, 0.14, 12.96, 0.54, 0.54, 57.897999999999946
/badc/cmip6/data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical, 11.49, 12.2, 106.18, 11.49, 0.0, 57.897999999999946
/badc/cmip6/data/CMIP6/DAMIP/MRI/MRI-ESM2-0/hist-aer, 3.87, 2.6, 67.18, 3.096, 0.774, 58.67199999999995
/badc/cmip6/data/CMIP6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-NTCF, 0.2, 0.01, 5.0, 0.12, 0.08000000000000002, 58.751999999999946
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/amip, 0.91, 0.14, 15.38, 0.546, 0.364, 59.11599999999994
/badc/cmip6/data/CMIP6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG, 2.48, 1.58, 63.71, 1.984, 0.496, 59.611999999999945
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl, 1.91, 2.07, 108.38, 1.91, 0.0, 59.611999999999945
/badc/cmip6/data/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-CM6-1/ssp126, 4.38, 4.37, 99.77, 4.38, 0.0, 59.611999999999945
/badc/cmip6/data/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-CM6-1/ssp585, 3.31, 4.36, 131.72, 3.31, 0.0, 59.611999999999945
/badc/cmip6/data/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp126, 8.25, 8.49, 102.91, 8.25, 0.0, 59.611999999999945
/badc/cmip6/data/CMIP6/C4MIP/CNRM-CERFACS/CNRM-ESM2-1/1pctCO2-rad, 0.67, 0.15, 22.39, 0.402, 0.268, 59.879999999999946
/badc/cmip6/data/CMIP6/ScenarioMIP/MRI/MRI-ESM2-0/ssp126, 7.23, 7.46, 103.18, 7.23, 0.0, 59.879999999999946
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/1pctCO2, 0.97, 0.21, 21.65, 0.582, 0.388, 60.267999999999944
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/3hr, 0.24, 0.19, 79.17, 0.192, 0.04799999999999999, 60.315999999999946
/badc/cmip6/data/CMIP6/OMIP/IPSL/IPSL-CM6A-LR/omip1, 1.3, 0.82, 63.08, 1.04, 0.26, 60.575999999999944
/badc/cmip6/data/CMIP6/RFMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-aer, 0.07, 0.01, 14.29, 0.07, 0.0, 60.575999999999944
/badc/cmip6/data/CMIP6/ScenarioMIP/MRI/MRI-ESM2-0/ssp434, 2.11, 1.07, 50.71, 1.688, 0.42199999999999993, 60.99799999999994
/badc/cmip6/data/CMIP6/ScenarioMIP/MRI/MRI-ESM2-0/ssp585, 7.7, 7.77, 100.91, 7.7, 0.0, 60.99799999999994
/badc/cmip6/data/CMIP6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-CH4, 0.2, 0.01, 5.0, 0.12, 0.08000000000000002, 61.07799999999994
/badc/cmip6/data/CMIP6/ScenarioMIP/MRI/MRI-ESM2-0/ssp460, 1.52, 1.06, 69.74, 1.2160000000000002, 0.3039999999999998, 61.38199999999994
/badc/cmip6/data/CMIP6/DAMIP/MRI/MRI-ESM2-0/hist-GHG, 3.97, 2.61, 65.74, 3.176, 0.794, 62.17599999999994
/badc/cmip6/data/CMIP6/DAMIP/NASA-GISS/GISS-E2-1-G/hist-sol, 1.43, 0.0, 0.0, 1.43, 0.0, 62.17599999999994
/badc/cmip6/data/CMIP6/DAMIP/MRI/MRI-ESM2-0/hist-nat, 3.97, 2.59, 65.24, 3.176, 0.794, 62.969999999999935
/badc/cmip6/data/CMIP6/DAMIP/NASA-GISS/GISS-E2-1-G/hist-volc, 0.92, 0.0, 0.0, 0.92, 0.0, 62.969999999999935
/badc/cmip6/data/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl, 7.72, 9.49, 122.93, 7.72, 0.0, 62.969999999999935
/badc/cmip6/data/CMIP6/ScenarioMIP/MRI/MRI-ESM2-0/ssp534-over, 2.31, 2.32, 100.43, 2.31, 0.0, 62.969999999999935
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/SImon, 0.07, 0.02, 28.57, 0.07, 0.0, 62.969999999999935
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Omon, 0.13, 0.05, 38.46, 0.078, 0.052000000000000005, 63.021999999999935
/badc/cmip6/data/CMIP6/HighResMIP/MIROC/NICAM16-7S/highresSST-present, 1.99, 0.08, 4.02, 0.995, 0.995, 64.01699999999994
/badc/cmip6/data/CMIP6/CMIP/CCCma/CanESM5/historical, 4.79, 4.78, 99.79, 4.79, 0.0, 64.01699999999994
