Path, MIP, Institute, Model, Experiment, Ensemble, Table, Variable, Allocation (TB), Current Usage (TB), Percent used
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r2i1p1f1/Lmon, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r2i1p1f1, Lmon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r4i1p1f1/Oday, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r4i1p1f1, Oday, , 0.09, 0.09, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r6i1p1f1/SIday, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r6i1p1f1, SIday, , 0.1, 0.1, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r2i1p1f1/6hrPlevPt, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r2i1p1f1, 6hrPlevPt, , 0.16, 0.16, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/hist-1950/r1i3p1f1/Amon, HighResMIP, MOHC, HadGEM3-GC31-HM, hist-1950, r1i3p1f1, Amon, , 0.5, 0.5, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/control-1950/r1i1p1f1/Amon, HighResMIP, ECMWF, ECMWF-IFS-MR, control-1950, r1i1p1f1, Amon, , 0.02, 0.02, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r2i1p1f1/Amon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r2i1p1f1, Amon, , 0.01, 0.01, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/control-1950/r1i1p1f1/Lmon, HighResMIP, ECMWF, ECMWF-IFS-MR, control-1950, r1i1p1f1, Lmon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r3i1p1f1/day, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r3i1p1f1, day, , 0.22, 0.22, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r3i1p1f1/Amon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r3i1p1f1, Amon, , 0.01, 0.01, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r1i1p1f1/SIday, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r1i1p1f1, SIday, , 0.1, 0.1, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r3i1p1f1/LImon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r3i1p1f1, LImon, , 0.0, 0.0, 0.0
